site_id,nd2_file,frame_index,channel_name,plate,well
OFFTOBB8NH,plate_1_A01_DAPI.nd2,84,DAPI,plate_1,A01
7RW0PVMEO5,plate_1_A01_GFP.nd2,73,GFP,plate_1,A01
PQU6DVZXOS,plate_1_A01_mitotracker.nd2,37,mitotracker,plate_1,A01
VK3PA5O8CO,plate_1_A02_DAPI.nd2,77,DAPI,plate_1,A02
J35GKKXUMY,plate_1_A02_GFP.nd2,98,GFP,plate_1,A02
8DN6W1YVOE,plate_1_A02_mitotracker.nd2,27,mitotracker,plate_1,A02
ZSYPTT2DQR,plate_1_A03_DAPI.nd2,56,DAPI,plate_1,A03
JUL0CY4R9L,plate_1_A03_GFP.nd2,8,GFP,plate_1,A03
L0SMLH02BA,plate_1_A03_mitotracker.nd2,30,mitotracker,plate_1,A03
DH2EAOGIHG,plate_1_A04_DAPI.nd2,72,DAPI,plate_1,A04
20KS7HFSLD,plate_1_A04_GFP.nd2,51,GFP,plate_1,A04
7ZDVL4UKPU,plate_1_A04_mitotracker.nd2,89,mitotracker,plate_1,A04
BA5LR3N7LX,plate_1_A05_DAPI.nd2,87,DAPI,plate_1,A05
JKYW5N9M0B,plate_1_A05_GFP.nd2,79,GFP,plate_1,A05
NUY05AF0XP,plate_1_A05_mitotracker.nd2,58,mitotracker,plate_1,A05
SAL05HN4I0,plate_1_A06_DAPI.nd2,75,DAPI,plate_1,A06
7AN1HSPNDC,plate_1_A06_GFP.nd2,90,GFP,plate_1,A06
9WA5Z8TN9I,plate_1_A06_mitotracker.nd2,41,mitotracker,plate_1,A06
OWNT7ER1SH,plate_1_A07_DAPI.nd2,87,DAPI,plate_1,A07
9OVPYLJBM1,plate_1_A07_GFP.nd2,15,GFP,plate_1,A07
3UXDOE99VW,plate_1_A07_mitotracker.nd2,93,mitotracker,plate_1,A07
30FCRTDLN3,plate_1_A08_DAPI.nd2,55,DAPI,plate_1,A08
8B0UURFIX4,plate_1_A08_GFP.nd2,9,GFP,plate_1,A08
POB8PVYYIP,plate_1_A08_mitotracker.nd2,8,mitotracker,plate_1,A08
AXK0Z2GV3A,plate_1_A09_DAPI.nd2,92,DAPI,plate_1,A09
Q7X0K1E5D4,plate_1_A09_GFP.nd2,49,GFP,plate_1,A09
4CAQFE3M64,plate_1_A09_mitotracker.nd2,12,mitotracker,plate_1,A09
PO5XF1YB0U,plate_1_A10_DAPI.nd2,77,DAPI,plate_1,A10
HZ1UBK74AU,plate_1_A10_GFP.nd2,31,GFP,plate_1,A10
BOK4F5ZXCH,plate_1_A10_mitotracker.nd2,3,mitotracker,plate_1,A10
K0Y9DXMML4,plate_1_A11_DAPI.nd2,46,DAPI,plate_1,A11
JV4Y4CAPYR,plate_1_A11_GFP.nd2,74,GFP,plate_1,A11
NNKSYF3WVL,plate_1_A11_mitotracker.nd2,13,mitotracker,plate_1,A11
7CJL8PQMAR,plate_1_A12_DAPI.nd2,5,DAPI,plate_1,A12
R6DO3CKM6G,plate_1_A12_GFP.nd2,60,GFP,plate_1,A12
2PQXYXP6IZ,plate_1_A12_mitotracker.nd2,89,mitotracker,plate_1,A12
0N0SERQF9F,plate_1_B01_DAPI.nd2,96,DAPI,plate_1,B01
SWC3JDKXQA,plate_1_B01_GFP.nd2,18,GFP,plate_1,B01
V7QNERP009,plate_1_B01_mitotracker.nd2,62,mitotracker,plate_1,B01
X765ICG22A,plate_1_B02_DAPI.nd2,65,DAPI,plate_1,B02
CF8MLL1VTB,plate_1_B02_GFP.nd2,4,GFP,plate_1,B02
WTPMPZZPOY,plate_1_B02_mitotracker.nd2,35,mitotracker,plate_1,B02
SQORM0OUYS,plate_1_B03_DAPI.nd2,91,DAPI,plate_1,B03
OJOIGT6GU3,plate_1_B03_GFP.nd2,32,GFP,plate_1,B03
NVJKEH4ZQD,plate_1_B03_mitotracker.nd2,45,mitotracker,plate_1,B03
3129G7LWFS,plate_1_B04_DAPI.nd2,63,DAPI,plate_1,B04
W82Z0OP8GF,plate_1_B04_GFP.nd2,87,GFP,plate_1,B04
W834K062MT,plate_1_B04_mitotracker.nd2,31,mitotracker,plate_1,B04
Y35YCBB26L,plate_1_B05_DAPI.nd2,100,DAPI,plate_1,B05
3YXYQCD34H,plate_1_B05_GFP.nd2,42,GFP,plate_1,B05
7V2WDZGLQZ,plate_1_B05_mitotracker.nd2,79,mitotracker,plate_1,B05
E82LLGQOMT,plate_1_B06_DAPI.nd2,67,DAPI,plate_1,B06
5K7ROUL5CV,plate_1_B06_GFP.nd2,96,GFP,plate_1,B06
2HTB440C2L,plate_1_B06_mitotracker.nd2,73,mitotracker,plate_1,B06
XI0LOAFSCI,plate_1_B07_DAPI.nd2,40,DAPI,plate_1,B07
6FTJGM5I4Z,plate_1_B07_GFP.nd2,95,GFP,plate_1,B07
ELR6EICXA3,plate_1_B07_mitotracker.nd2,68,mitotracker,plate_1,B07
TKJ8PM2SG6,plate_1_B08_DAPI.nd2,67,DAPI,plate_1,B08
HGA3GGXE2X,plate_1_B08_GFP.nd2,88,GFP,plate_1,B08
LRMUQFBMX2,plate_1_B08_mitotracker.nd2,1,mitotracker,plate_1,B08
42WQL3DL5V,plate_1_B09_DAPI.nd2,90,DAPI,plate_1,B09
8LJ0OSVPGB,plate_1_B09_GFP.nd2,82,GFP,plate_1,B09
YSOH35VZIX,plate_1_B09_mitotracker.nd2,83,mitotracker,plate_1,B09
BW6T28SDSD,plate_1_B10_DAPI.nd2,87,DAPI,plate_1,B10
769GIYGQFA,plate_1_B10_GFP.nd2,2,GFP,plate_1,B10
TXRNATZMQF,plate_1_B10_mitotracker.nd2,5,mitotracker,plate_1,B10
7MZ1UMTC6Z,plate_1_B11_DAPI.nd2,47,DAPI,plate_1,B11
GV992HEE31,plate_1_B11_GFP.nd2,0,GFP,plate_1,B11
L4K25BGH2J,plate_1_B11_mitotracker.nd2,23,mitotracker,plate_1,B11
23VVF1T7OA,plate_1_B12_DAPI.nd2,51,DAPI,plate_1,B12
6RG37DVURN,plate_1_B12_GFP.nd2,56,GFP,plate_1,B12
UIUX9FNNVA,plate_1_B12_mitotracker.nd2,91,mitotracker,plate_1,B12
PT5TE9BKTH,plate_1_C01_DAPI.nd2,71,DAPI,plate_1,C01
WUY8JFRQLA,plate_1_C01_GFP.nd2,94,GFP,plate_1,C01
LAQGKI7P4I,plate_1_C01_mitotracker.nd2,15,mitotracker,plate_1,C01
1MN27IRRMI,plate_1_C02_DAPI.nd2,35,DAPI,plate_1,C02
IPM6H0AKSA,plate_1_C02_GFP.nd2,34,GFP,plate_1,C02
